Inputs;;;;;;;Outputs;;;;;
Flow UUID;Flow;Category;Sub-category;Unit;Result;;Flow UUID;Flow;Category;Sub-category;Unit;Result
15545dca-018d-4f7f-aa1f-796b707180af;Cinnabar;Resource;in ground;kg;8,98247E-07;;4186494b-58c3-4e33-a0fc-48a9e917968d;1-Pentene;Emission to water;fresh water;kg;3,23999E-10
f509a295-e2a2-37cb-b61e-94807d9be413;Clay;Resource;in ground;kg;0,334687296;;f681eb3c-854a-4f78-bcfe-76dfbcf9df3c;2,4-D;Emission to soil;agricultural;kg;2,50858E-06
93806a54-46f5-409c-99c5-4144a1e73b5d;Clay, bentonite;Resource;in ground;kg;1,042472957;;e4f501bb-02e2-4562-be3c-5a047b6d2581;2,4-Dichlorophenol;Emission to air;high population density;kg;9,23604E-10
f7519ca9-5ffc-41c3-a33e-806da82cfc0e;Clay, unspecified;Resource;in ground;kg;11,287782;;4a094654-0a37-4492-87cb-5065366d9bc4;2-Aminopropanol;Emission to water;fresh water;kg;3,31717E-10
024c9722-1e88-412b-8c4b-10c532be8dca;Coal, brown;Resource;in ground;kg;115,4242652;;a0fec60d-3f74-48bf-a2d2-58c30fc13e53;2-Aminopropanol;Emission to air;high population density;kg;1,37787E-10
b6d0042d-0ef8-49ed-9162-a07ff1ccf750;Coal, hard;Resource;in ground;kg;44,22463298;;9e9d143b-f89b-335a-9f04-835f7354a85e;2-Butene, 2-methyl-;Emission to water;unspecified;kg;4,92037E-12
d0779a5e-6969-4144-954e-ceb81fb83f15;Cobalt;Resource;in ground;kg;9,29137E-06;;5011a495-2f22-3cfd-ac96-85b74c2ad089;2-Butene, 2-methyl-;Emission to air;unspecified;kg;1,91343E-19
ec72c523-9e1a-466a-98c3-e4098e90fd27;Colemanite;Resource;in ground;kg;1,113907372;;60268f3d-468b-487e-acb1-24d7250cb6b3;2-Chloro-1,1,1,2-tetrafluoroethane;Emission to air;unspecified;kg;3,33557E-08
fe0acd60-3ddc-11dd-ae5c-0050c2490048;Copper ion;Resource;in ground;kg;0,006134319;;febf61e5-5772-4a92-a047-bfca7965395b;2-Methyl-1-propanol;Emission to water;fresh water;kg;1,15806E-09
1aee4aa7-32e0-48e7-a6b5-73d8acf672d3;Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore;Resource;in ground;kg;7,11427E-08;;79a87f98-0b00-4e7e-86f8-70667307f696;2-Methyl-2-butene;Emission to air;high population density;kg;2,05012E-12
79df5650-160a-4ab7-a14f-cc8162877f4a;Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore;Resource;in ground;kg;0,011229697;;90d374f1-b739-45b2-a734-d6bdd8c8dc9c;2-Nitrobenzoic acid;Emission to air;high population density;kg;1,93895E-10
31998285-fb5c-411d-b853-ce78be2a0b49;Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore;Resource;in ground;kg;0,057951781;;2ccc4997-63d8-4f5f-8f4c-711080d7bd9b;2-Propanol;Emission to water;fresh water;kg;1,33493E-09
c8f18160-6937-4bb9-ad0c-dffa942ca41e;Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore;Resource;in ground;kg;0,015372307;;b593169f-9d42-35e2-a4c0-d89e2109440f;4,4'-Biphenol;Emission to air;unspecified;kg;2,12132E-20
b569dc97-52fe-4e39-9627-183b1002c287;Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore;Resource;in ground;kg;0,07655507;;f9d36529-abde-4ed2-a82c-d365ae2c713f;4-Methyl-2-pentanone;Emission to water;unspecified;kg;6,04485E-15
9877ce00-65f8-4c0c-9fcf-92aa53a2c9c0;Diatomite;Resource;in ground;kg;9,092E-09;;922a7ccf-3338-43ad-bd7e-77d51df051ab;Acenaphthene;Emission to air;low population density;kg;2,58921E-11
c7aee986-b7d8-4ad9-ad45-1ac0d68e6b78;Dolomite;Resource;in ground;kg;16,83210859;;1f4afa32-a9a2-40da-8396-104452cb637f;Acenaphthene;Emission to air;unspecified;kg;1,41203E-13
bb7aa805-00c6-416a-9e93-4ee7b33671da;Energy, from coal;Resource;in ground;MJ;1728,377573;;a6ad3fc7-c019-454f-a899-43be7913a598;Acenaphthene;Emission to water;ocean;kg;6,2358E-07
7045c96d-7cef-33cf-8f3d-cf7198b6faab;Energy, from coal, brown;Resource;in ground;MJ;574,9497967;;99c07b66-c039-4896-866d-06abdaa9d46a;Acenaphthene;Emission to air;high population density;kg;1,39983E-10
334b9535-0044-302f-965a-26e6167e7b60;Energy, from gas, natural;Resource;in ground;MJ;33740,39759;;a9d521d5-fe73-4726-830a-9d9aa0356b92;Acenaphthene;Emission to water;fresh water;kg;7,57467E-08
c3ae56cd-b714-330e-a5f5-bfba53fd3b06;Energy, from hydro power;Resource;in water;MJ;2,614E-16;;63e76212-8549-11e0-9d78-0800200c9a66;Acenaphthylene;Emission to air;unspecified;kg;4,89446E-13
65b57348-143d-3f95-9229-9c6999296d04;Energy, from oil;Resource;in ground;MJ;2026,307337;;c6e27975-c0a0-4189-ac1d-068f47a7b629;Acenaphthylene;Emission to water;fresh water;kg;2,37085E-08
6a85f9e5-cf4d-34c9-92ef-dd91b5d95b95;Energy, from peat;Resource;unspecified;MJ;10,02380302;;9dc481e4-e4cd-4cb1-a03e-d539f774e958;Acenaphthylene;Emission to water;ocean;kg;2,17324E-07
8d846589-ed6a-3f95-ad4a-4bd969a36ffb;Energy, from peat;Resource;in ground;MJ;3,46051E-07;;fc9f9a81-c4b9-4dce-bc20-9f04e05ca2f1;Acetaldehyde;Emission to air;low population density;kg;1,37256E-05
d3d3143a-93e0-346f-b750-7b8057c48b4c;Energy, from uranium;Resource;in ground;MJ;0,101342834;;4b51a9d0-4100-49c1-8d47-ec47eb51c58a;Acetaldehyde;Emission to water;unspecified;kg;2,47863E-07
f54b7f8d-f473-495e-8fc4-637859ab6e3a;Energy, geothermal, converted;Resource;unspecified;MJ;1,51701E-06;;e3e8f6a2-c45e-4685-9859-698b2eadaf5b;Acetaldehyde;Emission to air;unspecified;kg;9,40723E-05
8bc09c04-2190-4ee2-9ee2-ae988ccd4e0c;Energy, geothermal, converted;Resource;in ground;MJ;0,000316709;;5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f;Acetaldehyde;Emission to air;high population density;kg;3,97138E-05
01c12fca-ad8b-4902-8b48-2d5afe3d3a0f;Energy, gross calorific value, in biomass;Resource;biotic;MJ;333,0787355;;96f27de7-48e1-4f60-8359-1eafdb14a72a;Acetaldehyde;Emission to water;fresh water;kg;1,16379E-06
8842042d-7f07-45f8-bf43-fa83833d75de;Energy, gross calorific value, in biomass, primary forest;Resource;biotic;MJ;0,09549284;;eb23cf3a-b866-458d-94b3-9aee4145fcc9;Acetamide;Emission to soil;agricultural;kg;3,67873E-10
57c71b25-4663-4fad-9167-7ce5be3e8268;Energy, kinetic (in wind), converted;Resource;in air;MJ;743,8069906;;ba6ccdc7-da30-45fd-8215-babbf046cd3e;Acetic acid;Emission to water;fresh water;kg;2,85146E-05
c0dd7ccd-9e7a-42b3-b899-dfd18c2150ca;Energy, potential (in hydropower reservoir), converted;Resource;in water;MJ;537,4559406;;b9b68c0c-053e-41de-ab72-8dfe1c3f5755;Acetic acid;Emission to air;high population density;kg;0,000117611
f85eb4eb-3342-4283-a8ad-4d2c94e5aae2;Energy, primary, from geothermal;Resource;in ground;MJ;11,53011788;;c5cc0625-6e01-4639-b053-5d1d9d22a53c;Acetic acid;Emission to air;low population density;kg;2,2224E-05
f92cd1d9-f342-43b4-8d38-a787c945c0d5;Energy, primary, from solar energy;Resource;in air;MJ;73,35784749;;18452b50-8c57-41d2-bbdd-37996c455771;Acetic acid;Emission to water;ocean;kg;1,2444E-06
5bc2536a-5cb4-4c7a-9495-b21acd99ff9d;Energy, primary, from water power;Resource;in water;MJ;265,3453666;;d157416d-db9b-4f88-a7f3-a9a5f1ea88f2;Acetic acid;Emission to air;unspecified;kg;0,000407671
04202049-6556-11dd-ad8b-0800200c9a66;Energy, primary, from waves;Resource;in water;MJ;2,98079E-05;;9cf5cb40-6129-4fed-8fed-23026538289f;Acetochlor;Emission to water;fresh water;kg;3,44955E-19
c6e7e174-ff4e-4c4f-b727-f448389db0c8;Energy, primary, from wind power;Resource;in air;MJ;77,85912268;;92ee2fc1-238c-465d-9887-418af42db9c7;Acetochlor;Emission to soil;agricultural;kg;2,16335E-08
a7ff17d4-d3fe-4a70-9f2e-392b34630772;Energy, solar, converted;Resource;in air;MJ;358,504174;;edf1afb4-95cd-4482-b00d-6c814e08c807;Acetochlor;Emission to air;unspecified;kg;5,5194E-18
df79428f-f7f6-4788-8971-8c959827ed82;Erosion Resistance;Resource;land;kg;0,059784332;;f3d5fd96-8805-4d3d-867a-5df27975b07f;Acetone;Emission to air;unspecified;kg;6,00503E-05
a093e2a2-efa8-49a2-bdcd-d700cf9466e5;Erosion Resistance;Resource;land;kg/a;0,000179711;;7a2d7097-20c4-4b5f-b2ee-bcfc2ba1378f;Acetone;Emission to air;low population density;kg;0,000261716
